FID,CITY_NAME,GMI_ADMIN,ADMIN_NAME,FIPS_CNTRY,CNTRY_NAME,STATUS,POP,POP_RANK,POP_CLASS,PORT_ID,LABEL_FLAG,POP_SOURCE,lat,long
"204",Lincoln,USA-NEB,Nebraska,US,United States,Provincial capital,,"4","250,000 to 499,999","0","0",US_Census_2019,40.8069990128,-96.6819955727
"205",Topeka,USA-KAN,Kansas,US,United States,Provincial capital,,"5","100,000 to 249,999","0","0",US_Census_2019,39.0459960499,-95.6950017160
"206",Oklahoma City,USA-OKL,Oklahoma,US,United States,Provincial capital,,"3","500,000 to 999,999","0","0",US_Census_2019,35.4899969672,-97.5300026829
"207",San Diego,USA-CAL,California,US,United States,Other,,"2","1,000,000 to 4,999,999","16010","0",US_Census_2019,32.7614580471,-117.1254956550
"208",Mexicali,MEX-BCN,Baja California,MX,Mexico,Provincial capital,,"2","1,000,000 to 4,999,999","0","0",UN_Data_2010_2020,32.6549969482,-115.4670027030
"209",Boise,USA-IDA,Idaho,US,United States,Provincial capital,,"5","100,000 to 249,999","0","0",US_Census_2019,43.6167000554,-116.2167025910
"210",Oakland,USA-CAL,California,US,United States,Other,,"4","250,000 to 499,999","16340","0",US_Census_2019,37.8104579830,-122.2714706700
"211",Salem,USA-ORE,Oregon,US,United States,Provincial capital,,"5","100,000 to 249,999","7225","0",US_Census_2019,44.9559990242,-122.9910025560
"212",Carson City,USA-NEV,Nevada,US,United States,Provincial capital,,"6","50,000 to 99,999","0","0",US_Census_2019,39.1650029613,-119.7659966070
"213",Sacramento,USA-CAL,California,US,United States,Provincial capital,,"3","500,000 to 999,999","16590","0",US_Census_2019,38.5669979723,-121.4229955720
"214",San Francisco,USA-CAL,California,US,United States,Other,,"3","500,000 to 999,999","16300","0",US_Census_2019,37.7958149960,-122.3800916620
"215",San Jose,USA-CAL,California,US,United States,Other,,"2","1,000,000 to 4,999,999","0","0",US_Census_2019,37.3081050312,-121.8474537110
"216",Los Angeles,USA-CAL,California,US,United States,Other,,"2","1,000,000 to 4,999,999","16080","0",US_Census_2019,34.0000019591,-118.2500006410
"217",Cheyenne,USA-WYM,Wyoming,US,United States,Provincial capital,,"6","50,000 to 99,999","0","0",US_Census_2019,41.1339960470,-104.8139995990
