FID,CITY_NAME,GMI_ADMIN,ADMIN_NAME,FIPS_CNTRY,CNTRY_NAME,STATUS,POP,POP_RANK,POP_CLASS,PORT_ID,LABEL_FLAG,POP_SOURCE,lat,long
"2296","Kahemba_Congo, DRC",ZAR-BAN,Bandundu,CG,"Congo, DRC",Other,,"0",,"0","0",,"-7.3299959766","18.9999993577"
"2297",Lucapa_Angola,AGO-LNO,Lunda Norte,AO,Angola,Provincial capital,,"0",,"0","0",,"-8.4240000069","20.7340023379"
"2298",Saurimo_Angola,AGO-LSU,Lunda Sul,AO,Angola,Provincial capital,,"0",,"0","0",,"-9.6609959848","20.3910033648"
"2299","Kinshasa_Congo, DRC",ZAR-KNS,Kinshasa,CG,"Congo, DRC",National and provincial capital,,"1","5,000,000 and greater","0","1",UN_Habitat_2020,"-4.3209989917","15.2990013417"
"2300","Matadi_Congo, DRC",ZAR-BZA,Bas-Zaire,CG,"Congo, DRC",Provincial capital,,"0",,"46530","0",,"-5.8169969196","13.4710023193"
"2301",Mbanza Congo_Angola,AGO-ZAI,Zaire,AO,Angola,Provincial capital,,"0",,"0","0",,"-6.3000000326","14.2667013688"
"2302",Uige_Angola,AGO-UIG,Uige,AO,Angola,Provincial capital,,"0",,"0","1",,"-7.7499989642","15.1499973728"
"2303",Caxito_Angola,AGO-BEN,Bengo,AO,Angola,Provincial capital,,"0",,"0","0",,"-8.5779989345","13.6629994393"
"2304",Luanda_Angola,AGO-LUA,Luanda,AO,Angola,National and provincial capital,,"1","5,000,000 and greater","46560","1",UN_Habitat_2020,"-8.8119989513","13.2350044183"
"2305",Ndalatando_Angola,AGO-CNO,Cuanza Norte,AO,Angola,Provincial capital,,"0",,"0","0",,"-9.2979989735","14.9139993063"
"2306",Malange_Angola,AGO-MLN,Malanje,AO,Angola,Provincial capital,,"0",,"0","0",,"-9.5419980094","16.3410032905"
"2307",Ngunza_Angola,AGO-CSU,Cuanza Sul,AO,Angola,Provincial capital,,"0",,"0","0",,"-11.2089959940","13.8490024101"
"2308",Owando_Congo,COG-CVT,Cuvette,CF,Congo,Provincial capital,,"0",,"0","0",,"-0.4833000549","15.9166983897"
"2309",Kaulomoutou_Gabon,GAB-OLO,Ogooue-Lolo,GB,Gabon,Provincial capital,,"0",,"0","0",,"-1.1269980609","12.5039973993"
"2310",Masuku_Gabon,GAB-HOG,Haut-Ogooue,GB,Gabon,Provincial capital,,"0",,"0","0",,"-1.6319969310","13.6029963884"
"2311",Djambala_Congo,COG-PLT,Plateaux,CF,Congo,Provincial capital,,"0",,"0","0",,"-2.5430040012","14.7600003787"
"2312",Sibiti_Congo,COG-LEK,Lekoumou,CF,Congo,Provincial capital,,"0",,"0","0",,"-3.6909990611","13.3569993028"
"2313",Madingou_Congo,COG-BOU,Bouenza,CF,Congo,Provincial capital,,"0",,"0","0",,"-4.1640029896","13.5540003176"
"2314",Loubomo_Congo,COG-NIA,Niari,CF,Congo,Provincial capital,,"0",,"0","0",,"-4.1940000470","12.6720003816"
"2315",Pointe Noire_Congo,COG-KOU,Kouilou,CF,Congo,Other,,"2","1,000,000 to 4,999,999","46470","0",UN_Habitat_2020,"-4.6387079246","12.0580924129"
"2316",Cabinda_Angola,AGO-CBN,Cabinda,AO,Angola,Provincial capital,,"0",,"46490","1",,"-5.5569959448","12.1899962933"
"2317",Onjiva_Angola,AGO-CUN,Cunene,AO,Angola,Provincial capital,,"0",,"0","0",,"-17.0499959232","15.7833003573"
"2318",Benguela_Angola,AGO-BNG,Benguela,AO,Angola,Provincial capital,,"0",,"46600","1",,"-12.5769959522","13.4060043097"
"2319",Huambo_Angola,AGO-HUA,Huambo,AO,Angola,Provincial capital,,"0",,"0","1",,"-12.7600020140","15.7359963569"
"2320",Lubango_Angola,AGO-HUI,Huila,AO,Angola,Provincial capital,,"0",,"0","0",,"-14.9190029405","13.4919993825"
"2321",Namibe_Angola,AGO-NAM,Namibe,AO,Angola,Provincial capital,,"0",,"46610","1",,"-15.1666649572","12.1500003823"
"2322",Outjo_Namibia,NAM-OUT,Outjo,WA,Namibia,Provincial capital,,"0",,"0","1",,"-20.1079980804","16.1460003254"
"2323",Otjiwarongo_Namibia,NAM-OTJ,Otjiwarongo,WA,Namibia,Provincial capital,,"0",,"0","1",,"-20.4640019178","16.6470034271"
"2324",Omaruru_Namibia,NAM-OMR,Omaruru,WA,Namibia,Provincial capital,,"0",,"0","1",,"-21.4360019621","15.9509973603"
"2325",Karibib_Namibia,NAM-KRB,Karibib,WA,Namibia,Provincial capital,,"0",,"0","1",,"-21.9390029479","15.8529962826"
"2326",Kasama_Zambia,ZMB-NRT,Northern,ZA,Zambia,Provincial capital,,"5","100,000 to 249,999","0","0",UN_Data_2010_2020,"-10.2666959639","31.1499994152"
"2327",Sumbawanga_Tanzania,TZA-RUK,Rukwa,TZ,Tanzania,Provincial capital,,"0",,"0","0",,"-7.9669980173","31.6170004239"
