longitude,latitude
"106.690171","10.632146"
"106.690171","10.632146"
"106.690171","10.632146"
"106.652458","10.540198"
"106.652458","10.540198"
"106.652458","10.540198"
"106.635201","10.565006"
"106.633548","10.605887"
"106.633548","10.605887"
"106.633548","10.605887"
"106.633548","10.605887"
"106.611395","10.629335"
"106.611395","10.629335"
"106.611395","10.629335"
"106.611395","10.629335"
"106.611395","10.629335"
"106.611395","10.629335"
"106.611395","10.629335"
"106.611395","10.629335"
"106.67847","10.609862"
"106.67847","10.609862"
"106.71413","10.57007"
"106.71413","10.57007"
"106.606772","10.638993"
"106.606772","10.638993"
"106.606772","10.638993"
"106.293389","10.967387"
"106.470431","10.818513"
"106.418472","10.845141"
"106.380893","10.879909"
"106.380893","10.879909"
"106.380893","10.879909"
"106.380893","10.879909"
"106.380893","10.879909"
"106.380893","10.879909"
"106.447189","10.808223"
"106.447189","10.808223"
"106.447189","10.808223"
"106.447189","10.808223"
"106.447189","10.808223"
"106.034036","10.755106"
"106.034036","10.755106"
"106.034036","10.755106"
"105.941461","10.782683"
"105.941461","10.782683"
"106.057682","10.731494"
"106.057682","10.731494"
"106.057682","10.731494"
"106.057682","10.731494"
"106.057682","10.731494"
"105.904576","10.79656"
"105.904576","10.79656"
"105.929699","10.817443"
"105.901218","10.830249"
"105.971304","10.758778"
"105.881472","10.744757"
"105.881472","10.744757"
"106.447303","10.586879"
"105.663422","10.925988"
"105.663422","10.925988"
"105.723401","10.876287"
"105.62643","10.86003"
"105.765758","10.803185"
"105.765758","10.803185"
"105.765758","10.803185"
"105.563313","10.932004"
"105.719888","10.716965"
"105.592296","10.906753"
"105.794051","10.73294"
"105.794051","10.73294"
"105.794051","10.73294"
"105.782155","10.662089"
"105.782155","10.662089"
"105.648306","10.809619"
"105.893294","10.66557"
"105.893294","10.66557"
"105.834931","10.647954"
"105.834931","10.647954"
"105.834931","10.647954"
"105.973385","10.573177"
"105.973385","10.573177"
"105.973385","10.573177"
"105.973385","10.573177"
"105.973385","10.573177"
"105.973385","10.573177"
"105.973385","10.573177"
"106.044991","10.544338"
"106.044991","10.544338"
"106.044991","10.544338"
"106.044991","10.544338"
"106.044991","10.544338"
"106.044991","10.544338"
"105.886775","10.638111"
"105.886775","10.638111"
"106.031711","10.642798"
"106.031711","10.642798"
"106.031711","10.642798"
"105.922636","10.635291"
"105.922636","10.635291"
"105.922636","10.635291"
"105.922636","10.635291"
"106.063446","10.576923"
"106.063446","10.576923"
"106.063446","10.576923"
"105.943503","10.627518"
"106.009371","10.618993"
"106.009371","10.618993"
"106.368509","10.660788"
"106.368509","10.660788"
"106.368509","10.660788"
"106.368509","10.660788"
"106.447303","10.586879"
"106.447303","10.586879"
"106.516721","10.5386"
"106.447303","10.586879"
"106.447303","10.586879"
"106.447303","10.586879"
"106.447303","10.586879"
"106.447303","10.586879"
"106.447303","10.586879"
"106.467234","10.565655"
"106.467234","10.565655"
"106.467234","10.565655"
"106.467234","10.565655"
"106.467234","10.565655"
"106.467234","10.565655"
"106.467234","10.565655"
"106.467234","10.565655"
"106.467234","10.565655"
"106.467234","10.565655"
"106.495842","10.520883"
"106.495842","10.520883"
"106.495842","10.520883"
"106.495842","10.520883"
"106.495842","10.520883"
"106.495842","10.520883"
"106.495842","10.520883"
"106.495842","10.520883"
"106.495842","10.520883"
"106.495842","10.520883"
"106.354041","10.566336"
"106.495842","10.520883"
"106.495842","10.520883"
"106.480487","10.536321"
"106.480487","10.536321"
"106.480487","10.536321"
"106.480487","10.536321"
"106.480487","10.536321"
"106.480487","10.536321"
"106.480487","10.536321"
"106.480487","10.536321"
"106.480487","10.536321"
"106.480487","10.536321"
"106.467186","10.554866"
"106.467186","10.554866"
"106.467186","10.554866"
"106.467186","10.554866"
"106.467186","10.554866"
"106.54413","10.488197"
