id,name,city,country,faa,icao,alt,tz-offset,dst,tz,longitude,latitude
"248",Kotoka International Airport,Accra,Ghana,ACC,DGAA,"205","0",N,Africa/Accra,-0.166786,5.60519
"249",Tamale Airport,Tamale,Ghana,TML,DGLE,"553","0",N,Africa/Accra,-0.863214,9.55719
"250",Wa Airport,Wa,Ghana,\N,DGLW,"1060","0",N,Africa/Accra,-2.50769,10.0827
"251",Sunyani Airport,Sunyani,Ghana,NYI,DGSN,"1014","0",N,Africa/Accra,-2.32876,7.36183
"252",Takoradi Airport,Takoradi,Ghana,TKD,DGTK,"21","0",N,Africa/Accra,-1.77476,4.89606
"253",Port Bouet Airport,Abidjan,Cote d'Ivoire,ABJ,DIAP,"21","0",N,Africa/Abidjan,-3.92629,5.26139
"254",Bouaké Airport,Bouake,Cote d'Ivoire,BYK,DIBK,"1230","0",N,Africa/Abidjan,-5.07367,7.7388
"255",Daloa Airport,Daloa,Cote d'Ivoire,DJO,DIDL,"823","0",N,Africa/Abidjan,-6.47319,6.79281
"256",Korhogo Airport,Korhogo,Cote d'Ivoire,HGO,DIKO,"1214","0",N,Africa/Abidjan,-5.55666,9.38718
"257",Man Airport,Man,Cote d'Ivoire,MJC,DIMN,"1089","0",N,Africa/Abidjan,-7.58736,7.27207
"258",San Pedro Airport,San Pedro,Cote d'Ivoire,SPY,DISP,"26","0",N,Africa/Abidjan,-6.66082,4.74672
"259",Yamoussoukro Airport,Yamoussoukro,Cote d'Ivoire,ASK,DIYO,"699","0",N,Africa/Abidjan,-5.36558,6.90317
"260",Nnamdi Azikiwe International Airport,Abuja,Nigeria,ABV,DNAA,"1123","1",N,Africa/Lagos,7.26317,9.00679
"261",Akure Airport,Akure,Nigeria,AKR,DNAK,"1100","1",N,Africa/Lagos,5.30101,7.24674
"262",Benin Airport,Benin,Nigeria,BNI,DNBE,"258","1",N,Africa/Lagos,5.5995,6.31698
"263",Margaret Ekpo International Airport,Calabar,Nigeria,CBQ,DNCA,"210","1",N,Africa/Lagos,8.3472,4.97602
"264",Akanu Ibiam International Airport,Enugu,Nigeria,ENU,DNEN,"466","1",N,Africa/Lagos,7.56196,6.47427
"265",Gusau Airport,Gusau,Nigeria,\N,DNGU,"1520","1",N,Africa/Lagos,6.69611,12.1717
"266",Ibadan Airport,Ibadan,Nigeria,IBA,DNIB,"725","1",N,Africa/Lagos,3.97833,7.36246
"267",Ilorin International Airport,Ilorin,Nigeria,ILR,DNIL,"1126","1",N,Africa/Lagos,4.49392,8.44021
"268",Yakubu Gowon Airport,Jos,Nigeria,JOS,DNJO,"4232","1",N,Africa/Lagos,8.86905,9.63983
"269",Kaduna Airport,Kaduna,Nigeria,KAD,DNKA,"2073","1",N,Africa/Lagos,7.32011,10.696
"270",Mallam Aminu International Airport,Kano,Nigeria,KAN,DNKN,"1562","1",N,Africa/Lagos,8.52462,12.0476
"271",Maiduguri International Airport,Maiduguri,Nigeria,MIU,DNMA,"1099","1",N,Africa/Lagos,13.0809,11.8553
"272",Makurdi Airport,Makurdi,Nigeria,MDI,DNMK,"371","1",N,Africa/Lagos,8.61394,7.70388
"273",Murtala Muhammed International Airport,Lagos,Nigeria,LOS,DNMM,"135","1",N,Africa/Lagos,3.32116,6.57737
"274",Minna Airport,Minna,Nigeria,MXJ,DNMN,"834","1",N,Africa/Lagos,6.46226,9.65217
"275",Port Harcourt International Airport,Port Hartcourt,Nigeria,PHC,DNPO,"87","1",N,Africa/Lagos,6.94959,5.01549
"276",Sadiq Abubakar III International Airport,Sokoto,Nigeria,SKO,DNSO,"1010","1",N,Africa/Lagos,5.20719,12.9163
"277",Yola Airport,Yola,Nigeria,YOL,DNYO,"599","1",N,Africa/Lagos,12.4304,9.25755
"278",Zaria Airport,Zaria,Nigeria,ZAR,DNZA,"2170","1",N,Africa/Lagos,7.68581,11.1302
"279",Maradi Airport,Maradi,Niger,MFQ,DRRM,"1240","1",N,Africa/Niamey,7.12675,13.5025
"280",Diori Hamani International Airport,Niamey,Niger,NIM,DRRN,"732","1",N,Africa/Niamey,2.18361,13.4815
"281",Tahoua Airport,Tahoua,Niger,THZ,DRRT,"1266","1",N,Africa/Niamey,5.26536,14.8757
"282",Mano Dayak International Airport,Agadez,Niger,AJY,DRZA,"1657","1",N,Africa/Niamey,8.00011,16.966
"283",Dirkou Airport,Dirkou,Niger,\N,DRZD,"1273","1",N,Africa/Niamey,12.8687,18.9687
"284",Diffa Airport,Diffa,Niger,\N,DRZF,"994","1",N,Africa/Niamey,12.6267,13.3729
"285",Zinder Airport,Zinder,Niger,ZND,DRZR,"1516","1",N,Africa/Niamey,8.98376,13.779
"286",Monastir Habib Bourguiba International Airport,Monastir,Tunisia,MIR,DTMB,"9","1",E,Africa/Tunis,10.7547,35.758099
"287",Tunis Carthage International Airport,Tunis,Tunisia,TUN,DTTA,"22","1",E,Africa/Tunis,10.2272,36.851002
"288",Sidi Ahmed Air Base,Bizerte,Tunisia,\N,DTTB,"20","1",E,Africa/Tunis,9.79145,37.245398
"289",Remada Air Base,Remada,Tunisia,\N,DTTD,"1004","1",E,Africa/Tunis,10.3821,32.306198
"290",Gafsa Ksar International Airport,Gafsa,Tunisia,GAF,DTTF,"1060","1",E,Africa/Tunis,8.8225,34.422001
"291",Gabès Matmata International Airport,Gabes,Tunisia,GAE,DTTG,"26","1",E,Africa/Tunis,10.1033,33.8769
"292",Borj El Amri Airport,Bordj El Amri,Tunisia,\N,DTTI,"110","1",E,Africa/Tunis,9.94315,36.721298
"293",Djerba Zarzis International Airport,Djerba,Tunisia,DJE,DTTJ,"19","1",E,Africa/Tunis,10.7755,33.875
"294",El Borma Airport,El Borma,Tunisia,EBM,DTTR,"827","1",E,Africa/Tunis,9.25462,31.7043
"295",Sfax Thyna International Airport,Sfax,Tunisia,SFA,DTTX,"85","1",E,Africa/Tunis,10.691,34.717999
"296",Tozeur Nefta International Airport,Tozeur,Tunisia,TOE,DTTZ,"287","1",E,Africa/Tunis,8.11056,33.939701
"297",Niamtougou International Airport,Niatougou,Togo,LRL,DXNG,"1515","0",N,Africa/Lome,1.09125,9.76733
"298",Lomé-Tokoin Airport,Lome,Togo,LFW,DXXX,"72","0",N,Africa/Lome,1.25451,6.16561
"299",Antwerp International Airport (Deurne),Antwerp,Belgium,ANR,EBAW,"39","1",E,Europe/Brussels,4.46028,51.1894
"300",Beauvechain Air Base,Beauvechain,Belgium,\N,EBBE,"370","1",E,Europe/Brussels,4.76833,50.758598
"301",Kleine Brogel Air Base,Kleine Brogel,Belgium,\N,EBBL,"200","1",E,Europe/Brussels,5.47,51.168301
"302",Brussels Airport,Brussels,Belgium,BRU,EBBR,"184","1",E,Europe/Brussels,4.48444,50.901402
"303",Jehonville Air Base,Bertrix,Belgium,\N,EBBX,"1514","1",E,Europe/Brussels,5.22389,49.891701
"304",Brussels South Charleroi Airport,Charleroi,Belgium,CRL,EBCI,"614","1",E,Europe/Brussels,4.45382,50.459202
